Stock,CAGR in %,Volatility in %,Current stock price,Expected value,Median,2.5% Quantile,97.5% Quantile
^IXIC,5.7299999999999995,19.72,7816.27978515625,8371.41,8153.08,5689.19070791921,12401.87488168917
^GSPC,4.64,15.22,2859.530029296875,2990.36,2966.57,2177.2109681054817,3979.109318544491
FB,0.44,37.13,185.3000030517578,185.91,172.79,86.7117294694475,358.02969004955935
GOOG,7.68,26.729999999999997,1162.300048828125,1253.12,1206.71,733.4162663622322,2024.5631888818025
The recommanded stock to invest in is GOOG
